序号,报警代码(ErrorCode),报警ID(MessageID),分类(Category),中文报警信息(Message),英文报警信息(MessageEn/MessageIDHex),严重级别(Severity),排故指导(Solution),图片路径(ImagePath),所在文件
1,HW_SRV_001,50000,硬件异常,伺服驱动器离线或报错,Servo drive offline or error,3,1. 检查伺服驱动器电源指示灯是否正常;\n2. 检查伺服驱动器与运动控制卡之间的通讯线是否松动;\n3. 查看驱动器面板报警代码，对照手册处理;\n4. 重启驱动器后点击【复位】按钮;,/PF.UI.Infrastructure;component/HardwareImage/驱动器.png,PF.Core/Constants/AlarmCodes.cs
2,HW_IO_001,50001,硬件异常,IO 模块连接失败,IO module connection failed,2,1. 检查 EtherCAT 通讯线是否正确连接;\n2. 检查 IO 模块供电是否正常;\n3. 在调试页面尝试重新初始化硬件;\n4. 重新上电后点击【复位】按钮;,/PF.UI.Infrastructure;component/HardwareImage/IO模块.png,PF.Core/Constants/AlarmCodes.cs
3,HW_IO_002,50002,硬件异常,IO 读取异常,IO read error,2,1. 检查 EtherCAT 通讯线是否正确连接;\n2. 检查 IO 模块供电是否正常;\n3. 在调试页面尝试重新初始化硬件;\n4. 重新上电后点击【复位】按钮;,/PF.UI.Infrastructure;component/HardwareImage/IO模块.png,PF.Core/Constants/AlarmCodes.cs
4,HW_IO_003,50003,硬件异常,IO 设置异常,IO set error,2,1. 检查 EtherCAT 通讯线是否正确连接;\n2. 检查 IO 模块供电是否正常;\n3. 在调试页面尝试重新初始化硬件;\n4. 重新上电后点击【复位】按钮;,/PF.UI.Infrastructure;component/HardwareImage/IO模块.png,PF.Core/Constants/AlarmCodes.cs
5,HW_CARD_001,50004,硬件异常,运动控制卡初始化失败,Motion card init failed,3,1. 检查运动控制卡是否安装到位;\n2. 检查控制卡驱动是否安装;\n3. 检查设备管理器中是否存在控制卡设备;\n4. 尝试重启电脑后重新启动软件;,/PF.UI.Infrastructure;component/HardwareImage/运动控制卡.png,PF.Core/Constants/AlarmCodes.cs
6,HW_CARD_002,50005,硬件异常,运动控制卡总线通讯错误（运行期检测）,Motion card bus comm error,3,1. 检查 EtherCAT 总线连接线是否松动或断开;\n2. 检查各伺服驱动器及 IO 模块供电是否正常;\n3. 在调试页面重新初始化运动控制卡;\n4. 尝试重启设备后重新启动软件;,/PF.UI.Infrastructure;component/HardwareImage/运动控制卡.png,PF.Core/Constants/AlarmCodes.cs
7,HW_CAM_001,50006,硬件异常,相机连接超时,Camera connection timeout,2,1. 检查相机网线是否正确连接;\n2. 检查网络适配器 IP 配置是否与相机在同一网段;\n3. 使用 Ping 命令测试相机 IP 是否可达;\n4. 检查相机供电;\n5. 重启相机后重新初始化;,/PF.UI.Infrastructure;component/HardwareImage/相机.png,PF.Core/Constants/AlarmCodes.cs
8,HW_CAM_002,50007,硬件异常,相机通讯心跳超时（TCP 连接丢失）,Camera heartbeat timeout,2,1. 检查相机网线是否松动或断开;\n2. 使用 Ping 命令验证相机 IP 是否可达;\n3. 确认网络适配器 IP 与相机在同一网段;\n4. 重启相机后点击【复位】重新连接;,/PF.UI.Infrastructure;component/HardwareImage/相机.png,PF.Core/Constants/AlarmCodes.cs
9,HW_BCR_001,50008,硬件异常,条码扫描枪连接失败,Barcode scanner conn failed,1,1. 检查扫描枪 USB 或串口连接是否正常;\n2. 尝试重新插拔扫描枪;\n3. 检查设备管理器中是否正确识别;\n4. 确认端口号与参数配置一致;,/PF.UI.Infrastructure;component/HardwareImage/海康读码器.png,PF.Core/Constants/AlarmCodes.cs
10,HW_BCR_002,50009,硬件异常,扫码枪通讯心跳超时（TCP 连接丢失）,Scanner heartbeat timeout,1,1. 检查扫码枪网线或 USB 连接是否正常;\n2. 使用 Ping 命令验证扫码枪 IP 是否可达;\n3. 重启扫码枪后点击【复位】重新连接;\n4. 确认端口号与配置文件一致;,/PF.UI.Infrastructure;component/HardwareImage/海康读码器.png,PF.Core/Constants/AlarmCodes.cs
